maintenance_id,building_id,maintenance_date,equipment_type,issue_type,downtime_hours,maintenance_cost
453,B031,2020-10-20,Electrical,Corrective,5.8,1634.72
454,B031,2020-03-03,Electrical,Preventive,5.1,1890.91
455,B031,2023-09-29,HVAC,Preventive,5.1,1187.93
456,B031,2023-12-02,Elevator,Corrective,3.6,2596.32
457,B031,2024-08-11,Elevator,Corrective,3.6,1373.7
458,B031,2021-09-15,Elevator,Corrective,5.7,2961.69
459,B031,2023-01-17,Lighting,Preventive,1.1,1341.24
460,B031,2022-09-09,Electrical,Corrective,2.6,1873.6
461,B031,2022-06-03,Electrical,Corrective,5.7,1538.45
462,B031,2021-11-10,Lighting,Preventive,4.0,2089.32
463,B031,2024-06-07,Elevator,Preventive,0.7,2800.6
464,B031,2021-06-07,HVAC,Preventive,4.0,2082.69
465,B031,2021-07-11,Lighting,Corrective,4.2,1790.18
466,B031,2024-04-26,Elevator,Preventive,1.2,911.48
467,B031,2022-12-31,Elevator,Preventive,1.4,2094.6
468,B032,2023-06-14,Lighting,Preventive,1.6,1689.18
469,B032,2020-07-24,Electrical,Preventive,3.7,1335.51
470,B032,2023-02-08,HVAC,Preventive,0.5,1444.51
471,B032,2020-11-01,HVAC,Corrective,2.2,2599.86
472,B032,2021-05-03,Boiler,Preventive,5.8,1206.76
473,B032,2020-10-17,HVAC,Preventive,0.5,1774.7
474,B032,2022-07-09,Electrical,Preventive,5.0,2183.31
475,B032,2022-04-14,Elevator,Corrective,4.8,2089.82
476,B032,2020-07-31,Elevator,Corrective,6.0,2204.27
477,B032,2020-08-27,Elevator,Preventive,5.7,291.68
478,B032,2022-06-12,HVAC,Preventive,4.5,653.2
479,B032,2023-02-21,Boiler,Preventive,2.9,1337.58
480,B032,2022-03-07,Boiler,Preventive,2.0,465.63
481,B033,2020-03-12,Boiler,Corrective,4.9,2508.24
482,B033,2021-06-11,Elevator,Corrective,4.8,439.76
483,B033,2021-04-02,Lighting,Preventive,0.9,1499.35
484,B033,2021-10-12,HVAC,Preventive,3.0,552.4
485,B033,2020-02-05,Electrical,Preventive,1.4,2691.83
486,B033,2022-06-29,Boiler,Corrective,1.8,1693.69
487,B033,2024-03-23,HVAC,Preventive,2.7,2603.58
488,B033,2021-05-26,Lighting,Corrective,0.9,1164.01
489,B034,2024-01-14,HVAC,Preventive,0.7,1439.52
490,B034,2023-03-07,Boiler,Preventive,1.7,1448.63
491,B034,2020-10-17,Boiler,Preventive,5.1,2385.19
492,B034,2021-10-17,Lighting,Corrective,4.7,1536.29
493,B034,2020-09-21,Electrical,Preventive,1.2,2241.43
494,B034,2020-04-27,Boiler,Preventive,1.7,1257.02
495,B034,2020-01-27,Lighting,Preventive,1.0,420.32
496,B034,2021-12-07,HVAC,Preventive,4.0,2020.68
497,B034,2022-11-22,HVAC,Preventive,1.4,1315.95
498,B034,2022-08-20,Boiler,Corrective,2.9,2772.39
499,B034,2024-11-06,Boiler,Preventive,1.3,1032.32
500,B034,2022-11-27,Elevator,Corrective,3.2,2549.83
501,B034,2023-01-11,Electrical,Corrective,2.5,2746.41
502,B035,2021-11-14,HVAC,Corrective,1.9,2510.31
503,B035,2020-10-13,HVAC,Preventive,3.4,2258.29
504,B035,2023-11-27,Electrical,Preventive,0.8,2534.51
505,B035,2020-11-02,Elevator,Preventive,3.3,578.03
506,B035,2022-04-01,Lighting,Corrective,0.6,1923.32
507,B035,2020-11-28,Lighting,Preventive,3.9,588.22
508,B035,2020-08-18,Lighting,Preventive,2.9,1078.96
509,B035,2023-08-27,HVAC,Preventive,4.3,177.64
510,B036,2022-01-23,Boiler,Preventive,2.5,2641.32
511,B036,2021-09-29,Electrical,Corrective,1.0,319.28
512,B036,2021-01-07,Boiler,Corrective,1.2,626.94
513,B036,2021-04-12,Lighting,Corrective,3.6,562.26
514,B036,2024-04-22,HVAC,Preventive,3.5,849.14
515,B036,2024-06-24,HVAC,Preventive,1.6,2396.22
516,B036,2021-09-10,Boiler,Preventive,2.0,2952.91
517,B036,2020-06-09,Lighting,Preventive,2.2,615.09
518,B036,2022-03-05,Boiler,Corrective,5.7,2478.5
519,B036,2024-09-16,Electrical,Corrective,0.5,2312.92
520,B036,2020-12-21,HVAC,Corrective,1.5,1474.6
521,B036,2023-07-17,Electrical,Preventive,1.2,770.45
522,B037,2021-04-26,Lighting,Preventive,5.0,1683.05
523,B037,2022-05-18,Boiler,Preventive,3.6,620.37
524,B037,2023-07-10,HVAC,Corrective,1.7,2205.3
525,B037,2021-05-09,HVAC,Preventive,4.8,1929.3
526,B037,2024-12-12,Electrical,Preventive,0.7,890.31
527,B037,2021-09-16,Elevator,Preventive,1.3,880.57
528,B037,2024-03-31,Electrical,Preventive,3.2,2503.31
529,B037,2020-01-26,Elevator,Preventive,5.0,2925.77
530,B037,2020-12-03,Lighting,Corrective,1.1,1501.19
531,B037,2020-07-30,Elevator,Preventive,1.2,1718.74
532,B037,2024-12-03,Electrical,Preventive,1.9,896.43
533,B038,2022-01-24,Elevator,Corrective,5.5,1159.75
534,B038,2022-09-11,Electrical,Corrective,2.2,2234.35
535,B038,2024-06-04,Electrical,Preventive,1.4,1797.96
536,B038,2024-03-12,Electrical,Preventive,2.9,1272.52
537,B038,2021-09-09,Elevator,Corrective,2.0,1836.51
538,B038,2021-06-28,Electrical,Preventive,1.9,1230.31
539,B038,2023-03-22,Elevator,Preventive,2.6,2921.14
540,B038,2020-08-26,Boiler,Corrective,1.5,1738.76
541,B038,2024-04-24,Electrical,Preventive,5.7,990.82
542,B038,2022-01-25,Boiler,Preventive,3.3,2979.88
543,B038,2022-01-08,Electrical,Corrective,2.2,169.96
544,B038,2020-03-15,Electrical,Preventive,3.3,2566.99
545,B038,2023-05-01,Electrical,Preventive,3.3,386.8
546,B038,2021-11-24,Boiler,Corrective,4.3,2349.86
547,B039,2021-07-08,Elevator,Preventive,5.5,351.29
548,B039,2021-07-19,Elevator,Preventive,3.9,2871.61
549,B039,2023-03-15,Electrical,Corrective,5.9,465.78
550,B039,2020-03-28,Boiler,Corrective,1.0,2881.09
551,B039,2023-03-17,Lighting,Preventive,4.6,1192.29
552,B039,2022-09-05,Lighting,Corrective,0.5,1786.78
553,B039,2024-11-28,HVAC,Preventive,4.2,300.54
554,B039,2022-03-05,HVAC,Corrective,4.2,982.27
555,B039,2024-11-26,Boiler,Preventive,3.8,1193.91
556,B040,2020-10-20,Boiler,Corrective,5.9,1559.46
557,B040,2021-05-25,Elevator,Preventive,0.9,886.55
558,B040,2020-12-18,HVAC,Preventive,3.9,1348.84
559,B040,2022-07-03,HVAC,Corrective,4.6,176.33
560,B040,2021-11-01,Elevator,Preventive,2.3,1198.16
561,B040,2020-10-18,HVAC,Corrective,3.6,229.24
562,B040,2024-02-06,Elevator,Preventive,5.7,2365.72
563,B040,2021-01-21,Boiler,Preventive,3.7,2841.77
564,B040,2022-12-04,Electrical,Corrective,3.4,2666.92
565,B040,2022-07-31,Lighting,Preventive,5.2,2711.89
566,B041,2021-11-11,Boiler,Preventive,4.3,1832.02
567,B041,2022-01-21,Electrical,Corrective,5.1,2850.25
568,B041,2020-02-07,Boiler,Corrective,5.1,1256.0
569,B041,2023-01-25,HVAC,Preventive,5.2,2399.13
570,B041,2020-09-22,HVAC,Preventive,1.5,2190.43
571,B041,2021-08-28,Lighting,Preventive,2.5,748.29
572,B041,2022-11-28,Elevator,Corrective,5.7,330.66
573,B041,2020-10-09,HVAC,Preventive,4.6,2342.71
574,B041,2023-02-08,Boiler,Corrective,3.4,2096.41
575,B041,2023-08-01,Boiler,Corrective,3.3,2762.52
576,B041,2023-11-13,Boiler,Preventive,0.5,574.2
577,B041,2020-09-24,HVAC,Preventive,0.7,991.63
578,B042,2021-02-09,Lighting,Preventive,4.4,781.41
579,B042,2021-09-05,Lighting,Corrective,1.6,1832.44
580,B042,2023-06-25,Electrical,Preventive,4.5,1831.76
581,B042,2020-07-02,HVAC,Preventive,4.7,2728.88
582,B042,2023-02-21,Boiler,Preventive,2.6,2940.52
583,B042,2020-01-25,Electrical,Preventive,0.8,1106.37
584,B042,2021-08-21,Lighting,Corrective,5.8,2187.61
585,B042,2023-04-23,Boiler,Preventive,1.3,1551.53
586,B043,2020-07-03,Electrical,Preventive,2.8,399.05
587,B043,2024-10-17,Electrical,Corrective,4.4,2962.28
588,B043,2020-05-30,Elevator,Corrective,1.2,2083.36
589,B043,2024-03-05,Boiler,Corrective,1.6,2681.86
590,B043,2021-04-03,Elevator,Preventive,0.6,1700.36
591,B043,2020-01-11,Boiler,Corrective,2.2,2343.6
592,B043,2023-04-13,Elevator,Preventive,3.5,2469.83
593,B043,2022-04-20,Elevator,Preventive,3.2,917.59
594,B043,2021-08-29,HVAC,Preventive,0.9,929.57
595,B043,2023-09-07,Boiler,Corrective,3.3,502.49
596,B043,2021-11-22,Elevator,Preventive,4.9,769.61
597,B043,2024-11-05,Boiler,Preventive,3.5,1898.34
598,B043,2021-12-01,Boiler,Preventive,5.0,2927.73
599,B044,2023-09-08,Electrical,Corrective,1.9,2590.36
600,B044,2024-08-28,HVAC,Preventive,3.9,1015.43
601,B044,2024-01-23,Electrical,Corrective,4.7,1087.7
602,B044,2021-11-25,Boiler,Preventive,4.2,1727.31
603,B044,2023-01-15,Boiler,Corrective,0.8,2282.47
604,B044,2022-08-30,HVAC,Preventive,0.7,2106.39
605,B044,2024-07-04,HVAC,Preventive,4.4,151.45
606,B044,2023-04-30,HVAC,Preventive,5.4,490.19
607,B044,2023-02-15,Lighting,Preventive,4.4,1607.71
608,B045,2024-08-14,Electrical,Corrective,0.9,1678.75
609,B045,2020-01-24,Electrical,Preventive,2.3,559.58
610,B045,2020-07-13,Lighting,Corrective,4.8,1500.45
611,B045,2022-06-29,Boiler,Preventive,1.5,2796.03
612,B045,2020-07-17,Boiler,Preventive,1.4,1042.2
613,B045,2022-08-24,Electrical,Corrective,5.4,2035.93
614,B045,2021-07-18,HVAC,Preventive,2.1,485.01
615,B045,2023-08-24,Electrical,Preventive,0.7,418.3
616,B045,2023-09-29,HVAC,Preventive,3.4,1631.2
617,B046,2023-10-18,HVAC,Corrective,3.0,482.67
618,B046,2020-10-01,HVAC,Preventive,5.9,527.58
619,B046,2022-12-17,Boiler,Preventive,2.5,1097.09
620,B046,2021-08-24,Electrical,Corrective,1.5,936.66
621,B046,2021-04-14,Boiler,Preventive,5.8,356.03
622,B046,2024-12-13,Boiler,Corrective,1.8,944.31
623,B046,2022-08-23,HVAC,Corrective,4.2,675.46
624,B046,2020-12-24,Elevator,Preventive,3.3,2276.38
625,B046,2022-04-22,HVAC,Corrective,5.9,1596.01
626,B047,2023-07-15,HVAC,Corrective,1.4,403.98
627,B047,2022-06-22,HVAC,Preventive,1.3,2079.16
628,B047,2023-05-14,Electrical,Corrective,4.2,1246.34
629,B047,2020-09-11,Electrical,Preventive,1.6,334.22
630,B047,2024-10-22,HVAC,Preventive,1.7,670.16
631,B047,2022-05-13,Lighting,Preventive,3.4,1467.13
632,B047,2020-12-26,Lighting,Preventive,2.2,1498.3
633,B047,2021-01-11,Boiler,Corrective,2.4,1066.36
634,B047,2021-01-22,Lighting,Preventive,4.5,1000.77
635,B047,2024-04-24,Elevator,Corrective,2.9,2776.11
636,B047,2023-09-29,Electrical,Preventive,5.6,1365.74
637,B048,2023-01-11,Lighting,Preventive,4.8,2350.63
638,B048,2022-01-16,Boiler,Preventive,1.8,522.29
639,B048,2022-07-06,HVAC,Preventive,4.9,511.71
640,B048,2022-06-08,Lighting,Preventive,2.4,2373.56
641,B048,2020-11-14,Lighting,Corrective,2.3,2969.22
642,B048,2024-10-26,HVAC,Preventive,2.0,342.09
643,B048,2020-09-29,Boiler,Corrective,5.6,1843.82
644,B048,2020-01-16,Boiler,Corrective,5.0,1497.78
645,B048,2022-05-27,Boiler,Preventive,5.7,1364.49
646,B048,2023-10-01,Boiler,Preventive,5.5,548.36
647,B048,2021-07-03,Boiler,Corrective,5.0,2721.46
648,B049,2022-02-02,HVAC,Preventive,2.9,2859.12
649,B049,2021-01-24,Lighting,Preventive,1.4,1864.59
650,B049,2020-04-27,Boiler,Preventive,2.4,302.69
651,B049,2024-08-30,Boiler,Preventive,2.8,1020.06
652,B049,2022-01-12,HVAC,Preventive,3.3,643.07
653,B049,2021-05-23,HVAC,Preventive,1.8,1651.81
654,B049,2021-10-06,Elevator,Preventive,2.7,2692.04
655,B049,2021-01-19,Boiler,Preventive,0.5,2708.93
656,B049,2024-03-24,Electrical,Corrective,5.6,1661.47
657,B049,2023-05-24,Boiler,Corrective,5.6,281.88
658,B049,2023-01-13,HVAC,Corrective,1.8,740.0
659,B049,2023-06-24,Electrical,Preventive,0.6,2184.29
660,B049,2023-12-11,Boiler,Corrective,3.7,1354.22
661,B049,2022-03-07,HVAC,Corrective,2.0,2418.48
662,B050,2023-03-03,Electrical,Preventive,1.9,851.08
663,B050,2024-06-15,Electrical,Corrective,5.8,833.81
664,B050,2024-11-10,Elevator,Preventive,2.9,2413.18
665,B050,2021-08-10,Boiler,Corrective,3.8,2462.97
666,B050,2021-12-21,Boiler,Preventive,5.0,171.71
667,B050,2023-04-10,HVAC,Corrective,2.0,2135.07
668,B050,2024-05-13,Boiler,Preventive,3.0,495.94
669,B050,2022-04-07,Electrical,Corrective,6.0,1606.28
670,B050,2023-09-12,Lighting,Preventive,5.4,2758.51
671,B050,2024-01-26,HVAC,Preventive,3.2,366.99
672,B050,2021-02-16,Elevator,Corrective,2.4,1234.04
673,B050,2020-09-09,Elevator,Preventive,3.0,1997.4
674,B050,2021-08-05,Elevator,Preventive,4.7,1160.53
675,B050,2024-05-06,Boiler,Preventive,3.9,1112.94
